Income,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Children,Total_AcceptedCmp
58138.0,635,88,546,172,88,88,3,8,10,4,7,65,0,0
46344.0,11,1,6,2,1,6,2,1,1,2,5,68,2,0
71613.0,426,49,127,111,21,42,1,8,2,10,4,57,0,0
26646.0,11,4,20,10,3,5,2,2,0,4,6,38,1,0
58293.0,173,43,118,46,27,15,5,5,3,6,5,41,1,0
62513.0,520,42,98,0,42,14,2,6,4,10,6,55,1,0
55635.0,235,65,164,50,49,27,4,7,3,7,6,51,1,0
33454.0,76,10,56,3,1,23,2,4,0,4,8,37,1,0
30351.0,14,0,24,3,3,2,1,3,0,2,9,48,1,0
63033.0,194,61,480,225,112,30,1,3,4,8,2,63,0,0
59354.0,233,2,53,3,5,14,3,6,1,5,6,70,2,0
82800.0,1006,22,115,59,68,45,1,7,6,12,3,76,0,1
41850.0,53,5,19,2,13,4,3,3,0,3,8,42,2,0
37760.0,84,5,38,150,12,28,2,4,1,6,7,76,0,0
76995.0,1012,80,498,0,16,176,2,11,4,9,5,73,1,1
33812.0,4,17,19,30,24,39,2,2,1,3,6,37,1,0
37040.0,86,2,73,69,38,48,1,4,2,5,8,40,0,0
58607.0,867,0,86,0,0,19,3,2,3,9,8,73,1,0
65324.0,384,0,102,21,32,5,3,6,2,9,4,68,1,0
40689.0,270,3,27,39,6,99,7,7,1,5,8,71,1,0
53359.0,173,4,30,3,6,41,4,5,1,4,7,46,2,0
38360.0,36,2,42,20,21,10,2,2,1,4,3,33,1,0
84618.0,684,100,801,21,66,0,1,6,9,10,2,57,0,0
38620.0,112,17,44,34,22,89,1,2,5,3,3,59,0,0
40548.0,110,0,5,2,0,3,2,2,1,4,5,52,1,0
46610.0,96,12,96,33,22,43,6,4,1,6,6,70,2,0
68657.0,482,34,471,119,68,22,1,3,5,9,7,76,0,0
49389.0,40,0,19,2,1,3,1,2,0,3,7,71,2,0
67353.0,702,17,151,0,8,35,5,5,6,12,2,52,1,0
23718.0,6,3,14,15,7,36,3,3,1,2,7,46,1,0
42429.0,55,0,6,2,0,4,2,1,1,3,5,49,1,0
48948.0,437,8,206,160,49,42,2,7,10,5,6,79,0,1
80011.0,421,76,536,82,178,102,2,8,6,5,4,42,1,0
20559.0,13,1,29,3,0,7,2,2,0,3,8,37,1,0
21994.0,9,0,6,3,1,3,1,0,0,3,5,65,1,0
79941.0,123,164,266,227,30,174,1,2,4,9,1,46,0,0
41728.0,13,6,15,3,5,13,1,2,0,2,10,54,1,0
72550.0,826,50,317,50,38,38,9,5,2,12,8,68,2,0
65486.0,245,19,125,37,67,14,1,4,2,10,2,65,1,0
79143.0,650,37,780,27,167,32,1,6,9,13,3,58,0,0
35790.0,12,6,20,30,1,3,2,2,0,3,7,45,1,0
82582.0,510,120,550,156,40,241,1,4,9,7,1,45,0,2
66373.0,328,9,124,12,24,109,7,4,2,10,3,44,2,0
82384.0,984,51,432,180,120,190,1,3,10,13,1,67,0,0
70287.0,295,35,482,121,120,40,1,5,5,10,3,56,0,0
27938.0,13,0,8,2,1,5,1,1,0,4,3,34,1,0
55954.0,447,0,28,0,0,43,3,8,2,6,7,54,1,0
75777.0,712,26,538,69,13,80,1,3,6,11,1,40,0,0
66653.0,452,18,102,16,18,6,4,4,2,12,3,47,2,0
61823.0,523,7,134,37,14,169,4,8,2,10,7,70,1,0
67680.0,546,0,48,0,6,6,1,7,3,8,5,71,1,0
70666.0,398,40,367,119,122,30,1,7,4,4,4,74,0,0
25721.0,1,3,6,3,6,15,1,1,1,2,7,51,1,0
32474.0,10,0,1,0,0,0,1,1,0,2,7,55,2,0
88194.0,688,14,309,201,24,38,1,11,10,10,5,43,1,2
69096.0,247,49,159,7,82,109,1,5,2,10,4,64,1,0
74854.0,856,59,487,58,29,73,7,2,5,5,5,52,3,0
66991.0,496,36,460,189,60,12,3,4,8,6,3,68,0,0
