Income,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Year,Age,Edu,Household,Days_Enrolled,Total_Spent,Age_group,Children,Total_AcceptedCmp
58138.0,635,88,546,172,88,88,3,8,10,4,7,2012,65,Grad,single,3581,1617,60-70,0,0
46344.0,11,1,6,2,1,6,2,1,1,2,5,2014,68,Grad,single,2735,27,60-70,2,0
71613.0,426,49,127,111,21,42,1,8,2,10,4,2013,57,Grad,couple,3082,776,50-60,0,0
26646.0,11,4,20,10,3,5,2,2,0,4,6,2014,38,Grad,couple,2675,53,30-40,1,0
58293.0,173,43,118,46,27,15,5,5,3,6,5,2014,41,Postgrad,couple,2931,422,40-50,1,0
62513.0,520,42,98,0,42,14,2,6,4,10,6,2013,55,Postgrad,couple,3063,716,50-60,1,0
55635.0,235,65,164,50,49,27,4,7,3,7,6,2012,51,Grad,single,3363,590,50-60,1,0
33454.0,76,10,56,3,1,23,2,4,0,4,8,2013,37,Postgrad,couple,3098,169,30-40,1,0
30351.0,14,0,24,3,3,2,1,3,0,2,9,2013,48,Postgrad,couple,3158,46,40-50,1,0
5648.0,28,0,6,1,1,13,1,1,0,0,20,2014,72,Postgrad,couple,2878,49,70-80,2,1
7500.0,6,16,11,11,1,16,1,2,0,3,8,2012,46,Undergrad,couple,3363,61,40-50,0,0
63033.0,194,61,480,225,112,30,1,3,4,8,2,2013,63,Grad,single,2996,1102,60-70,0,0
59354.0,233,2,53,3,5,14,3,6,1,5,6,2013,70,Postgrad,single,2996,310,60-70,2,0
17323.0,3,14,17,6,1,5,1,1,0,3,8,2012,35,Grad,couple,3397,46,30-40,0,0
82800.0,1006,22,115,59,68,45,1,7,6,12,3,2012,76,Postgrad,single,3352,1315,70-80,0,1
41850.0,53,5,19,2,13,4,3,3,0,3,8,2012,42,Grad,couple,3322,96,40-50,2,0
37760.0,84,5,38,150,12,28,2,4,1,6,7,2012,76,Grad,couple,3437,317,70-80,0,0
76995.0,1012,80,498,0,16,176,2,11,4,9,5,2013,73,Postgrad,couple,3228,1782,70-80,1,1
33812.0,4,17,19,30,24,39,2,2,1,3,6,2012,37,Undergrad,single,3610,133,30-40,1,0
37040.0,86,2,73,69,38,48,1,4,2,5,8,2012,40,Grad,couple,3460,316,30-40,0,0
2447.0,1,1,1725,1,1,1,15,0,28,0,1,2013,43,Grad,couple,3163,1730,40-50,1,0
58607.0,867,0,86,0,0,19,3,2,3,9,8,2012,73,Postgrad,couple,3323,972,70-80,1,0
65324.0,384,0,102,21,32,5,3,6,2,9,4,2014,68,Postgrad,couple,2645,544,60-70,1,0
40689.0,270,3,27,39,6,99,7,7,1,5,8,2013,71,Grad,couple,3238,444,70-80,1,0
18589.0,6,4,25,15,12,13,2,2,1,3,7,2013,53,Grad,single,3283,75,50-60,0,0
53359.0,173,4,30,3,6,41,4,5,1,4,7,2013,46,Grad,couple,3168,257,40-50,2,0
38360.0,36,2,42,20,21,10,2,2,1,4,3,2013,33,Grad,couple,3164,131,30-40,1,0
84618.0,684,100,801,21,66,0,1,6,9,10,2,2013,57,Postgrad,couple,2989,1672,50-60,0,0
10979.0,8,4,10,2,2,4,2,3,0,3,5,2014,33,Postgrad,single,2808,30,30-40,0,0
38620.0,112,17,44,34,22,89,1,2,5,3,3,2013,59,Postgrad,couple,3006,318,50-60,0,0
40548.0,110,0,5,2,0,3,2,2,1,4,5,2012,52,Grad,couple,3397,120,50-60,1,0
46610.0,96,12,96,33,22,43,6,4,1,6,6,2012,70,Postgrad,single,3378,302,60-70,2,0
68657.0,482,34,471,119,68,22,1,3,5,9,7,2013,76,Postgrad,couple,3264,1196,70-80,0,0
49389.0,40,0,19,2,1,3,1,2,0,3,7,2013,71,Postgrad,single,3074,65,70-80,2,0
67353.0,702,17,151,0,8,35,5,5,6,12,2,2013,52,Postgrad,couple,2950,913,50-60,1,0
23718.0,6,3,14,15,7,36,3,3,1,2,7,2013,46,Undergrad,couple,3275,81,40-50,1,0
42429.0,55,0,6,2,0,4,2,1,1,3,5,2014,49,Grad,single,2644,67,40-50,1,0
48948.0,437,8,206,160,49,42,2,7,10,5,6,2013,79,Postgrad,single,3313,902,70-80,0,1
80011.0,421,76,536,82,178,102,2,8,6,5,4,2013,42,Grad,couple,3196,1395,40-50,1,0
20559.0,13,1,29,3,0,7,2,2,0,3,8,2013,37,Postgrad,couple,2978,53,30-40,1,0
21994.0,9,0,6,3,1,3,1,0,0,3,5,2012,65,Grad,couple,3322,22,60-70,1,0
7500.0,3,1,10,3,2,12,3,2,0,3,5,2013,47,Postgrad,couple,3274,31,40-50,1,0
79941.0,123,164,266,227,30,174,1,2,4,9,1,2014,46,Grad,single,2771,984,40-50,0,0
7500.0,3,18,14,15,22,50,3,3,1,3,9,2012,26,Undergrad,couple,3426,122,20-30,0,0
41728.0,13,6,15,3,5,13,1,2,0,2,10,2013,54,Grad,couple,3171,55,50-60,1,0
72550.0,826,50,317,50,38,38,9,5,2,12,8,2012,68,Postgrad,couple,3457,1319,60-70,2,0
65486.0,245,19,125,37,67,14,1,4,2,10,2,2014,65,Grad,single,2611,507,60-70,1,0
79143.0,650,37,780,27,167,32,1,6,9,13,3,2012,58,Postgrad,couple,3368,1693,50-60,0,0
35790.0,12,6,20,30,1,3,2,2,0,3,7,2013,45,Grad,single,3283,72,40-50,1,0
82582.0,510,120,550,156,40,241,1,4,9,7,1,2014,45,Grad,single,2763,1617,40-50,0,2
66373.0,328,9,124,12,24,109,7,4,2,10,3,2013,44,Grad,couple,2975,606,40-50,2,0
82384.0,984,51,432,180,120,190,1,3,10,13,1,2012,67,Postgrad,couple,3357,1957,60-70,0,0
70287.0,295,35,482,121,120,40,1,5,5,10,3,2013,56,Grad,single,3280,1093,50-60,0,0
27938.0,13,0,8,2,1,5,1,1,0,4,3,2014,34,Grad,single,2832,29,30-40,1,0
55954.0,447,0,28,0,0,43,3,8,2,6,7,2014,54,Postgrad,couple,2888,518,50-60,1,0
75777.0,712,26,538,69,13,80,1,3,6,11,1,2013,40,Postgrad,single,3218,1438,30-40,0,0
66653.0,452,18,102,16,18,6,4,4,2,12,3,2012,47,Grad,couple,3490,612,40-50,2,0
61823.0,523,7,134,37,14,169,4,8,2,10,7,2013,70,Grad,single,3266,884,60-70,1,0
67680.0,546,0,48,0,6,6,1,7,3,8,5,2013,71,Postgrad,single,3005,606,70-80,1,0
70666.0,398,40,367,119,122,30,1,7,4,4,4,2013,74,Grad,couple,3152,1076,70-80,0,0
25721.0,1,3,6,3,6,15,1,1,1,2,7,2013,51,Grad,couple,3174,34,50-60,1,0
32474.0,10,0,1,0,0,0,1,1,0,2,7,2014,55,Grad,couple,2641,11,50-60,2,0
88194.0,688,14,309,201,24,38,1,11,10,10,5,2014,43,Undergrad,single,2872,1274,40-50,1,2
69096.0,247,49,159,7,82,109,1,5,2,10,4,2013,64,Grad,couple,3045,653,60-70,1,0
74854.0,856,59,487,58,29,73,7,2,5,5,5,2013,52,Grad,couple,3099,1562,50-60,3,0
66991.0,496,36,460,189,60,12,3,4,8,6,3,2012,68,Postgrad,couple,3367,1253,60-70,0,0
65031.0,258,107,291,84,37,86,4,10,3,13,7,2013,63,Grad,couple,3239,863,60-70,1,0
60631.0,565,6,65,0,6,19,5,9,2,8,7,2013,47,Postgrad,couple,3191,661,40-50,2,0
28332.0,14,10,13,4,15,9,1,2,1,4,2,2014,70,Grad,couple,2830,65,60-70,0,0
40246.0,2,1,6,2,1,1,1,1,0,2,6,2012,45,Grad,single,3327,13,40-50,1,0
75251.0,721,111,925,97,18,18,1,7,6,5,5,2012,50,Postgrad,couple,3441,1890,40-50,0,0
75825.0,1032,105,779,137,105,51,0,5,8,9,4,2012,46,Grad,single,3336,2209,40-50,0,1
26326.0,1,0,5,0,3,9,1,0,0,3,3,2013,46,Undergrad,couple,3216,18,40-50,0,0
56046.0,577,0,64,0,0,51,2,10,1,8,8,2013,57,Grad,couple,3283,692,50-60,0,1
29760.0,64,4,68,7,5,17,4,3,1,4,8,2012,37,Grad,single,3439,165,30-40,1,0
26304.0,4,1,5,2,0,4,1,1,0,2,7,2013,53,Grad,couple,3141,16,50-60,1,0
23559.0,25,5,19,7,0,23,3,3,0,3,7,2013,49,Undergrad,couple,3249,79,40-50,1,0
38620.0,112,17,44,34,22,89,1,2,5,3,3,2013,59,Postgrad,couple,3006,318,50-60,0,0
81361.0,163,23,424,27,65,76,1,3,10,13,1,2014,35,Grad,single,2894,778,30-40,0,0
29440.0,17,8,14,10,4,3,2,1,0,4,7,2013,62,Grad,couple,3003,56,60-70,2,0
36138.0,130,0,16,0,0,5,5,3,1,4,7,2013,52,Postgrad,couple,3118,151,50-60,2,0
50388.0,292,6,37,0,3,34,4,6,1,6,7,2014,65,Grad,single,2802,372,60-70,1,1
79593.0,350,60,568,110,133,145,1,5,6,7,2,2014,49,Grad,couple,2611,1366,40-50,0,0
54178.0,135,9,39,4,0,7,1,2,2,5,2,2014,55,Grad,couple,2929,194,50-60,1,0
42394.0,15,2,10,0,1,4,1,1,0,3,7,2014,50,Postgrad,single,2868,32,40-50,1,0
23626.0,27,2,14,0,0,0,3,3,1,3,5,2014,52,Postgrad,couple,2806,43,50-60,1,0
30096.0,5,3,11,12,5,9,1,2,0,3,6,2014,39,Grad,couple,2808,45,30-40,1,0
47916.0,505,0,26,0,0,75,5,7,4,6,6,2012,62,Grad,single,3354,606,60-70,1,0
51813.0,51,2,7,0,1,2,2,2,0,3,7,2013,50,Grad,single,3007,63,40-50,2,0
78497.0,207,26,447,75,0,223,1,5,7,12,2,2013,71,Undergrad,couple,3303,978,70-80,0,1
50150.0,135,46,92,65,61,11,2,5,2,7,5,2013,39,Postgrad,couple,3144,410,30-40,0,0
47823.0,53,1,5,2,1,10,2,2,0,3,8,2013,62,Undergrad,single,3111,72,60-70,1,0
